,id,city,category,district,size,year of construction,number of rooms,floor,Total floors,elevator,parking,storage,date,price per meter (Toman),total price (Toman)
643,AZSeenhd,tehran,buy-apartment,salsabil,43,1387,1,1,3,no,yes,yes,2023-06-21,"68,604,000","2,950,000,000"
644,AZSeuc61,tehran,buy-apartment,elahiyeh,167,1402,3,hmkhf,NA,yes,yes,yes,2023-06-21,"329,341,000","55,000,000,000"
645,AZOCPqC8,tehran,buy-apartment,pasdaran,155,1400,3,3,5,yes,yes,yes,2023-06-21,"176,129,000","27,300,000,000"
646,AZRyA8w8,tehran,buy-apartment,north-shahran,131,1401,2,4,NA,yes,yes,yes,2023-06-21,"139,694,000","18,300,000,000"
647,AZ01LLSg,tehran,buy-apartment,mobarak-abad-beheshti,60,1400,1,3,NA,yes,yes,yes,2023-06-21,"32,000,000","1,920,000,000"
648,AZQ-lC9M,tehran,buy-apartment,dr-hoshyar,42,1394,1,2,4,yes,no,no,2023-06-21,"72,619,000","3,050,000,000"
649,AZSe-r9f,tehran,buy-apartment,south-jannat-abad,60,1385,1,3,4,no,yes,yes,2023-06-21,"78,333,000","4,700,000,000"
650,AZSeOwTf,tehran,buy-apartment,velenjak,220,1402,3,5,NA,yes,yes,yes,2023-06-21,"400,000,000","88,000,000,000"
651,AZPyaF1v,tehran,buy-apartment,shahrak-takhti,68,1398,1,2,NA,yes,no,yes,2023-06-21,"33,000,000","2,244,000,000"
652,AZJ2swOH,tehran,buy-apartment,punak,110,1401,2,4,12,yes,yes,yes,2023-06-21,"118,181,000","13,000,000,000"
653,AZ3ZxS_p,tehran,buy-apartment,tehran-hosein-abad,55,1390,1,2,4,yes,no,yes,2023-06-21,"143,636,000","7,900,000,000"
654,AZFMrgLo,tehran,buy-apartment,chitgar,130,1401,3,20,NA,yes,yes,yes,2023-06-21,"11,807,000","1,535,000,000"
655,AZFe2ksm,tehran,buy-apartment,chitgar,66,1402,2,12,NA,yes,yes,yes,2023-06-21,"20,454,000","1,350,000,000"
656,AZSiObhs,tehran,buy-apartment,darb-dowom,196,1392,3,2,5,yes,yes,yes,2023-06-21,"178,571,000","35,000,000,000"
657,AZSieOGc,tehran,buy-apartment,west-tehran-pars,182,1384,3,5,NA,yes,yes,yes,2023-06-21,"115,384,000","21,000,000,000"
658,AZJi7G4E,tehran,buy-apartment,shahrak-rahahan,110,1402,2,8,9,yes,yes,yes,2023-06-21,"18,000,000","1,980,000,000"
659,AZSiuY1K,tehran,buy-apartment,sohrevardi,130,1402,3,4,6,yes,yes,yes,2023-06-21,"135,000,000","17,550,000,000"
660,AZFaNAvf,tehran,buy-apartment,chitgar,127,1397,3,2,NA,yes,yes,yes,2023-06-21,"74,803,000","9,500,000,000"
661,AZSiOpPZ,tehran,buy-apartment,doolab,51,1388,1,2,4,yes,no,no,2023-06-21,"45,980,000","2,345,000,000"
662,AZEOjJbJ,tehran,buy-apartment,chitgar,70,1402,2,13,NA,yes,yes,yes,2023-06-21,"19,285,000","1,350,000,000"
663,AZNut80K,tehran,buy-apartment,chitgar,60,1402,1,8,24,yes,yes,yes,2023-06-21,"22,500,000","1,350,000,000"
664,AZ6Vefpk,tehran,buy-apartment,darrous,100,1394,2,4,5,yes,yes,yes,2023-06-21,"120,000,000","12,000,000,000"
665,AZSiORZu,tehran,buy-apartment,tarasht,93,1402,2,4,4,yes,yes,yes,2023-06-21,"82,903,000","7,710,000,000"
666,AZReoXlH,tehran,buy-apartment,north-jannat-abad,120,1402,2,5,5,yes,yes,yes,2023-06-21,"112,500,000","13,500,000,000"
667,AZvldUJT,tehran,buy-apartment,shahrak-gharb,135,1401,3,2,6,yes,yes,yes,2023-06-21,"229,629,000","31,000,000,000"
668,AZfNH-fW,tehran,buy-apartment,shahrak-gharb,300,1400,4,3,6,yes,yes,yes,2023-06-21,"250,000,000","75,000,000,000"
669,AZ4F1Ywp,tehran,buy-apartment,shahrak-gharb,145,1402,3,2,6,yes,yes,yes,2023-06-21,"220,689,000","32,000,000,000"
670,AZMa4tdV,tehran,buy-apartment,central-jannat-abad,115,1394,2,3,NA,yes,yes,yes,2023-06-21,"104,347,000","12,000,000,000"
